cluster,direction,feature,std_diff,cluster_mean,overall_mean
0,negative,numeric__CC24_326a,-0.6225240941158099,-0.622524094738212,7.078020759559642e-15
0,negative,numeric__CC24_440a,-0.6271628401752655,-0.6271628408021672,7.598103224338518e-15
0,negative,numeric__CC24_441b,-0.6477447920048272,-0.647744792652539,5.0731121963753156e-15
0,negative,numeric__CC24_301,-0.683554978745452,-0.6835549794290304,1.5672413453821088e-15
0,negative,numeric__ideo5,-0.6912441586919975,-0.6912441593834477,3.240341480380271e-15
0,negative,numeric__CC24_330a,-0.7388920928985513,-0.7388920936374457,-7.047815564660553e-15
0,negative,numeric__CC24_pid7,-0.7752426853408345,-0.7752426861160254,3.4632773757240507e-15
0,negative,numeric__pid7,-0.795545977373234,-0.7955459781687105,-5.593883510698547e-15
0,negative,numeric__CC24_312a,-0.8008480495898079,-0.8008480503906868,3.7543549540920707e-16
0,negative,numeric__CC24_312i,-0.8106109890496818,-0.8106109898605339,-4.5599442733031126e-15
0,positive,numeric__CC24_323c,0.7356797887754516,0.7356797895111058,7.37457377065695e-16
0,positive,numeric__CC24_441a,0.6358528634893598,0.6358528641252995,4.1286253556823294e-15
0,positive,numeric__CC24_328d,0.6220836239255637,0.6220836245477811,-2.3383530355081117e-15
0,positive,numeric__CC24_325,0.6089592922005652,0.608959292809442,1.3863218841121683e-16
0,positive,numeric__CC24_445b,0.6036266807016286,0.6036266813052061,5.450853527225186e-15
0,positive,numeric__CC24_440d,0.5861375753221584,0.5861375759080809,-4.6806451977374295e-15
0,positive,numeric__CC24_326d,0.5704299891572885,0.5704299897276683,9.07550063203831e-16
0,positive,numeric__CC24_440b,0.5382546091721157,0.5382546097103446,-1.8599742378873005e-16
0,positive,numeric__CC24_340f,0.5262283508729099,0.5262283513990319,4.5493089276173876e-15
0,positive,numeric__CC24_444b,0.5224678009215844,0.5224678014440071,5.333678377433815e-15
1,negative,numeric__CC24_444b,-0.432828365038946,-0.43282836547172726,5.333678377433815e-15
1,negative,numeric__CC24_340f,-0.43587472999290616,-0.4358747304286845,4.5493089276173876e-15
1,negative,numeric__CC24_440b,-0.4458182382473949,-0.44581823869319215,-1.8599742378873005e-16
1,negative,numeric__CC24_326d,-0.4725467919781149,-0.47254679245061854,9.07550063203831e-16
1,negative,numeric__CC24_440d,-0.48551793431970325,-0.48551793480505157,-4.6806451977374295e-15
1,negative,numeric__CC24_445b,-0.5000481217070312,-0.5000481222070285,5.450853527225186e-15
1,negative,numeric__CC24_325,-0.5044314555183755,-0.5044314560227385,1.3863218841121683e-16
1,negative,numeric__CC24_328d,-0.515322864671278,-0.5153228651867159,-2.3383530355081117e-15
1,negative,numeric__CC24_441a,-0.5266870613842419,-0.5266870619109935,4.1286253556823294e-15
1,negative,numeric__CC24_323c,-0.6094275095650612,-0.6094275101744661,7.37457377065695e-16
1,positive,numeric__CC24_312i,0.6714826723705696,0.6714826730422436,-4.5599442733031126e-15
1,positive,numeric__CC24_312a,0.6633994240388547,0.6633994247022802,3.7543549540920707e-16
1,positive,numeric__pid7,0.6590233317775004,0.659023332436456,-5.593883510698547e-15
1,positive,numeric__CC24_pid7,0.6422103734780492,0.642210374120223,3.4632773757240507e-15
1,positive,numeric__CC24_330a,0.6120904229152838,0.6120904235273633,-7.047815564660553e-15
1,positive,numeric__ideo5,0.5726376367881787,0.5726376373609929,3.240341480380271e-15
1,positive,numeric__CC24_301,0.5662307997258232,0.5662308002920763,1.5672413453821088e-15
1,positive,numeric__CC24_441b,0.5365771115453123,0.5365771120818714,5.0731121963753156e-15
1,positive,numeric__CC24_440a,0.5195196748831611,0.5195196754024783,7.598103224338518e-15
1,positive,numeric__CC24_326a,0.51568709999233,0.5156871005079291,7.078020759559642e-15
2,negative,categorical__SenCand2Party2_post___NA__,-2.1262161157793438,0.0,0.8188666666665814
2,negative,categorical__SenCand1Name2_post___NA__,-2.1262161157793438,0.0,0.8188666666665814
2,negative,numeric__CC24_300b_1,-2.2931365000239556,-2.293136502315962,2.468643643454768e-16
2,negative,numeric__CC24_300b_4,-2.397739840758978,-2.3977398431555432,-5.2223409787149205e-15
2,negative,numeric__CC24_300b_2,-2.4042518909939377,-2.4042518933987584,8.167215344236263e-15
2,negative,numeric__CC24_300b_6,-2.6940004270458466,-2.69400042974046,-1.0382879045466378e-15
2,negative,numeric__CC24_420_7,-3.008363548205513,-3.0083635512154125,3.804728003465284e-15
2,negative,numeric__CC24_365b,-4.9633862140168326,-4.963386218977377,-8.727251506104178e-16
2,negative,categorical__SenCand1Party_Democratic,-8.805340994529065,0.0,0.9872666666665628
2,negative,numeric__CC24_411b,-10.813862729718696,-10.813862740528696,1.8263189189753678e-15
2,positive,numeric__page_CC24_411b_timing,243.52217829129597,243.52217853465973,-1.8542876821959087e-15
2,positive,categorical__TS_state_NE,15.779733588059537,1.0,0.003999999999999983
2,positive,categorical__CurrentSen2Name_post_Pete Ricketts,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__SenCand1Name_post_Dan Osborn,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__LowerChamberName_post_Nebraska State Legislature,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__LegName_post_Nebraska State Legislature,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__SenCand2Party2_post_Republican,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__SenCand2Name2_post_Pete Ricketts,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__SenCand1Party2_post_Democratic,14.10673577966592,1.0,0.004999999999999977
2,positive,categorical__SenCand1Name2_post_Preston Love Jr.,14.10673577966592,1.0,0.004999999999999977
